# size    scipy z2time  z3time  z5time  z7time
10        1.21  0.891	  0.9009	1.188	  1.29
20        2.12  1.728	  1.7836	2.184	  2.3736
30        3.50  2.619	  2.5116	3.528	  3.8313
40        4.12  3.348	  3.64	  4.416	  4.902
50        5.00  4.095	  4.1405	5.82	  6.3855
60        6.90  4.86 	  5.0778	6.696	  7.6626
70        8.01  6.3	    5.9878	7.98	  8.7591
80        9.12  6.84	  6.9888	9.024	  10.2168
90        10.5  7.938	  7.7805	9.8496	10.7973
100       12.01	8.827	  8.9988	11.739  12.03
